Gen,Description,Concentration,Concentration,Units,Units(ug/L),Units(ug/L),Log_Conc,Zscore,Pvlue,
RPSA,Ribosomal protein SA,710 ng/L,710,ng/L,0.71,0.71,-0.49410907,-0.26690528,0.394771046,
AARS,Alanyl-tRNA synthetase,700 ng/L,700,ng/L,0.7,0.7,-0.514573173,-0.270719336,0.393303452,
MESD,Mesoderm development LRP chaperone,690 ng/L,690,ng/L,0.69,0.69,-0.535331733,-0.274588273,0.391816289,
NAGK,N-acetylglucosamine kinase,690 ng/L,690,ng/L,0.69,0.69,-0.535331733,-0.274588273,0.391816289,
THBD,Thrombomodulin,690 ng/L,690,ng/L,0.69,0.69,-0.535331733,-0.274588273,0.391816289,
AP2B1,Adaptor related protein complex 2 beta 1 subunit,680 ng/L,680,ng/L,0.68,0.68,-0.556393349,-0.278513692,0.390309028,
PITHD1,PITH domain containing 1,680 ng/L,680,ng/L,0.68,0.68,-0.556393349,-0.278513692,0.390309028,
CAMK2B,Calcium/calmodulin dependent protein kinase II beta,680 ng/L,680,ng/L,0.68,0.68,-0.556393349,-0.278513692,0.390309028,
PDCD10,Programmed cell death 10,680 ng/L,680,ng/L,0.68,0.68,-0.556393349,-0.278513692,0.390309028,
MYOM3,Myomesin 3,680 ng/L,680,ng/L,0.68,0.68,-0.556393349,-0.278513692,0.390309028,
CD151,CD151 molecule (Raph blood group),680 ng/L,680,ng/L,0.68,0.68,-0.556393349,-0.278513692,0.390309028,
FGFR3,Fibroblast growth factor receptor 3,670 ng/L,670,ng/L,0.67,0.67,-0.577766999,-0.282497268,0.38878112,
KLK10,Kallikrein related peptidase 10,670 ng/L,670,ng/L,0.67,0.67,-0.577766999,-0.282497268,0.38878112,
TFF2,Trefoil factor 2,670 ng/L,670,ng/L,0.67,0.67,-0.577766999,-0.282497268,0.38878112,
MZB1,Marginal zone B and B1 cell specific protein,670 ng/L,670,ng/L,0.67,0.67,-0.577766999,-0.282497268,0.38878112,
GARS,Glycyl-tRNA synthetase,660 ng/L,660,ng/L,0.66,0.66,-0.59946207,-0.28654075,0.387231994,
PEF1,Penta-EF-hand domain containing 1,660 ng/L,660,ng/L,0.66,0.66,-0.59946207,-0.28654075,0.387231994,
NUDT5,Nudix hydrolase 5,660 ng/L,660,ng/L,0.66,0.66,-0.59946207,-0.28654075,0.387231994,
GSTM4,Glutathione S-transferase mu 4,660 ng/L,660,ng/L,0.66,0.66,-0.59946207,-0.28654075,0.387231994,
ROBO2,Roundabout guidance receptor 2,660 ng/L,660,ng/L,0.66,0.66,-0.59946207,-0.28654075,0.387231994,
SERPINB5,Serpin family B member 5,660 ng/L,660,ng/L,0.66,0.66,-0.59946207,-0.28654075,0.387231994,
ACHE,Acetylcholinesterase (Cartwright blood group),650 ng/L,650,ng/L,0.65,0.65,-0.621488377,-0.290645966,0.38566105,
DYNLL1,Dynein light chain LC8-type 1,650 ng/L,650,ng/L,0.65,0.65,-0.621488377,-0.290645966,0.38566105,
PPP1R7,Protein phosphatase 1 regulatory subunit 7,650 ng/L,650,ng/L,0.65,0.65,-0.621488377,-0.290645966,0.38566105,
FABP6,Fatty acid binding protein 6,650 ng/L,650,ng/L,0.65,0.65,-0.621488377,-0.290645966,0.38566105,
EMILIN3,Elastin microfibril interfacer 3,650 ng/L,650,ng/L,0.65,0.65,-0.621488377,-0.290645966,0.38566105,
ADA,Adenosine deaminase,650 ng/L,650,ng/L,0.65,0.65,-0.621488377,-0.290645966,0.38566105,
ETFB,Electron transfer flavoprotein beta subunit,640 ng/L,640,ng/L,0.64,0.64,-0.64385619,-0.294814832,0.384067668,
EEF1B2,Eukaryotic translation elongation factor 1 beta 2,640 ng/L,640,ng/L,0.64,0.64,-0.64385619,-0.294814832,0.384067668,
ATP5PB,ATP synthase peripheral stalk-membrane subunit b,640 ng/L,640,ng/L,0.64,0.64,-0.64385619,-0.294814832,0.384067668,
LRP11,LDL receptor related protein 11,640 ng/L,640,ng/L,0.64,0.64,-0.64385619,-0.294814832,0.384067668,
ALDH1L1,Aldehyde dehydrogenase 1 family member L1,640 ng/L,640,ng/L,0.64,0.64,-0.64385619,-0.294814832,0.384067668,
CYBB,Cytochrome b-245 beta chain,640 ng/L,640,ng/L,0.64,0.64,-0.64385619,-0.294814832,0.384067668,
ADAM9,ADAM metallopeptidase domain 9,640 ng/L,640,ng/L,0.64,0.64,-0.64385619,-0.294814832,0.384067668,
C11orf54,Chromosome 11 open reading frame 54,640 ng/L,640,ng/L,0.64,0.64,-0.64385619,-0.294814832,0.384067668,
TXNDC17,Thioredoxin domain containing 17,630 ng/L,630,ng/L,0.63,0.63,-0.666576266,-0.299049352,0.382451195,
GALNT5,Polypeptide N-acetylgalactosaminyltransferase 5,630 ng/L,630,ng/L,0.63,0.63,-0.666576266,-0.299049352,0.382451195,
OTUB1,"OTU deubiquitinase, ubiquitin aldehyde binding 1",630 ng/L,630,ng/L,0.63,0.63,-0.666576266,-0.299049352,0.382451195,
SLAMF7,SLAM family member 7,620 ng/L,620,ng/L,0.62,0.62,-0.689659879,-0.303351627,0.380810953,
ADSS,Adenylosuccinate synthase,620 ng/L,620,ng/L,0.62,0.62,-0.689659879,-0.303351627,0.380810953,
CHRDL1,Chordin like 1,620 ng/L,620,ng/L,0.62,0.62,-0.689659879,-0.303351627,0.380810953,
LFNG,LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase,620 ng/L,620,ng/L,0.62,0.62,-0.689659879,-0.303351627,0.380810953,
RTN3,Reticulon 3,620 ng/L,620,ng/L,0.62,0.62,-0.689659879,-0.303351627,0.380810953,
GATM,Glycine amidinotransferase,620 ng/L,620,ng/L,0.62,0.62,-0.689659879,-0.303351627,0.380810953,
NRXN1,Neurexin 1,620 ng/L,620,ng/L,0.62,0.62,-0.689659879,-0.303351627,0.380810953,
BTK,Bruton tyrosine kinase,610 ng/L,610,ng/L,0.61,0.61,-0.713118852,-0.307723861,0.379146231,
IFNAR2,Interferon alpha and beta receptor subunit 2,610 ng/L,610,ng/L,0.61,0.61,-0.713118852,-0.307723861,0.379146231,
PTMA,Prothymosin alpha,610 ng/L,610,ng/L,0.61,0.61,-0.713118852,-0.307723861,0.379146231,
TSTA3,Tissue specific transplantation antigen P35B,600 ng/L,600,ng/L,0.6,0.6,-0.736965594,-0.312168366,0.377456286,
ADGRD1,Adhesion G protein-coupled receptor D1,600 ng/L,600,ng/L,0.6,0.6,-0.736965594,-0.312168366,0.377456286,
SKP1,S-phase kinase associated protein 1,600 ng/L,600,ng/L,0.6,0.6,-0.736965594,-0.312168366,0.377456286,
NCL,Nucleolin,600 ng/L,600,ng/L,0.6,0.6,-0.736965594,-0.312168366,0.377456286,
NT5C,"5', 3'-nucleotidase, cytosolic",600 ng/L,600,ng/L,0.6,0.6,-0.736965594,-0.312168366,0.377456286,
EMILIN2,Elastin microfibril interfacer 2,600 ng/L,600,ng/L,0.6,0.6,-0.736965594,-0.312168366,0.377456286,
MATN2,Matrilin 2,600 ng/L,600,ng/L,0.6,0.6,-0.736965594,-0.312168366,0.377456286,
SSR4,Signal sequence receptor subunit 4,600 ng/L,600,ng/L,0.6,0.6,-0.736965594,-0.312168366,0.377456286,
SLAMF1,Signaling lymphocytic activation molecule family member 1,590 ng/L,590,ng/L,0.59,0.59,-0.76121314,-0.316687573,0.37574034,
MUC5B,"Mucin 5B, oligomeric mucus/gel-forming",590 ng/L,590,ng/L,0.59,0.59,-0.76121314,-0.316687573,0.37574034,
CMBL,Carboxymethylenebutenolidase homolog,590 ng/L,590,ng/L,0.59,0.59,-0.76121314,-0.316687573,0.37574034,
ATP5MG,ATP synthase membrane subunit g,590 ng/L,590,ng/L,0.59,0.59,-0.76121314,-0.316687573,0.37574034,
PAK2,P21 (RAC1) activated kinase 2,590 ng/L,590,ng/L,0.59,0.59,-0.76121314,-0.316687573,0.37574034,
KIRREL1,Kirre like nephrin family adhesion molecule 1,590 ng/L,590,ng/L,0.59,0.59,-0.76121314,-0.316687573,0.37574034,
FIS1,"Fission, mitochondrial 1",590 ng/L,590,ng/L,0.59,0.59,-0.76121314,-0.316687573,0.37574034,
EHD2,EH domain containing 2,580 ng/L,580,ng/L,0.58,0.58,-0.785875195,-0.321284034,0.373997577,
ST6GAL1,"ST6 beta-galactoside alpha-2,6-sialyltransferase 1",580 ng/L,580,ng/L,0.58,0.58,-0.785875195,-0.321284034,0.373997577,
PLXNA2,Plexin A2,580 ng/L,580,ng/L,0.58,0.58,-0.785875195,-0.321284034,0.373997577,
PTGES3,Prostaglandin E synthase 3,580 ng/L,580,ng/L,0.58,0.58,-0.785875195,-0.321284034,0.373997577,
ST8SIA4,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4",580 ng/L,580,ng/L,0.58,0.58,-0.785875195,-0.321284034,0.373997577,
ADIRF,Adipogenesis regulatory factor,580 ng/L,580,ng/L,0.58,0.58,-0.785875195,-0.321284034,0.373997577,
EIF4E,Eukaryotic translation initiation factor 4E,580 ng/L,580,ng/L,0.58,0.58,-0.785875195,-0.321284034,0.373997577,
FTCD,Formimidoyltransferase cyclodeaminase,580 ng/L,580,ng/L,0.58,0.58,-0.785875195,-0.321284034,0.373997577,
MEGF6,Multiple EGF like domains 6,580 ng/L,580,ng/L,0.58,0.58,-0.785875195,-0.321284034,0.373997577,
ANXA4,Annexin A4,580 ng/L,580,ng/L,0.58,0.58,-0.785875195,-0.321284034,0.373997577,
GALM,Galactose mutarotase,570 ng/L,570,ng/L,0.57,0.57,-0.810966176,-0.325960439,0.372227144,
MMP14,Matrix metallopeptidase 14,570 ng/L,570,ng/L,0.57,0.57,-0.810966176,-0.325960439,0.372227144,
SERPINA12,Serpin family A member 12,570 ng/L,570,ng/L,0.57,0.57,-0.810966176,-0.325960439,0.372227144,
JAM3,Junctional adhesion molecule 3,570 ng/L,570,ng/L,0.57,0.57,-0.810966176,-0.325960439,0.372227144,
GLDC,Glycine decarboxylase,570 ng/L,570,ng/L,0.57,0.57,-0.810966176,-0.325960439,0.372227144,
COMT,Catechol-O-methyltransferase,560 ng/L,560,ng/L,0.56,0.56,-0.836501268,-0.330719615,0.370428142,
HNRNPH3,Heterogeneous nuclear ribonucleoprotein H3,560 ng/L,560,ng/L,0.56,0.56,-0.836501268,-0.330719615,0.370428142,
CEMIP,Cell migration inducing hyaluronan binding protein,560 ng/L,560,ng/L,0.56,0.56,-0.836501268,-0.330719615,0.370428142,
IMPAD1,Inositol monophosphatase domain containing 1,560 ng/L,560,ng/L,0.56,0.56,-0.836501268,-0.330719615,0.370428142,
GCNT2,"Glucosaminyl (N-acetyl) transferase 2, I-branching enzyme (I blood group)",560 ng/L,560,ng/L,0.56,0.56,-0.836501268,-0.330719615,0.370428142,
GSTM3,Glutathione S-transferase mu 3,560 ng/L,560,ng/L,0.56,0.56,-0.836501268,-0.330719615,0.370428142,
TGFBR2,Transforming growth factor beta receptor 2,560 ng/L,560,ng/L,0.56,0.56,-0.836501268,-0.330719615,0.370428142,
CHST15,Carbohydrate sulfotransferase 15,560 ng/L,560,ng/L,0.56,0.56,-0.836501268,-0.330719615,0.370428142,
PTPN18,"Protein tyrosine phosphatase, non-receptor type 18",550 ng/L,550,ng/L,0.55,0.55,-0.862496476,-0.335564547,0.368599631,
MYRF,Myelin regulatory factor,550 ng/L,550,ng/L,0.55,0.55,-0.862496476,-0.335564547,0.368599631,
ANGPTL6,Angiopoietin like 6,550 ng/L,550,ng/L,0.55,0.55,-0.862496476,-0.335564547,0.368599631,
CAMK1,Calcium/calmodulin dependent protein kinase I,550 ng/L,550,ng/L,0.55,0.55,-0.862496476,-0.335564547,0.368599631,
HNRNPD,Heterogeneous nuclear ribonucleoprotein D,550 ng/L,550,ng/L,0.55,0.55,-0.862496476,-0.335564547,0.368599631,
CREG1,Cellular repressor of E1A stimulated genes 1,550 ng/L,550,ng/L,0.55,0.55,-0.862496476,-0.335564547,0.368599631,
COLEC12,Collectin subfamily member 12,550 ng/L,550,ng/L,0.55,0.55,-0.862496476,-0.335564547,0.368599631,
ANXA7,Annexin A7,540 ng/L,540,ng/L,0.54,0.54,-0.888968688,-0.340498382,0.36674062,
RPS14,Ribosomal protein S14,540 ng/L,540,ng/L,0.54,0.54,-0.888968688,-0.340498382,0.36674062,
MAN1B1,Mannosidase alpha class 1B member 1,540 ng/L,540,ng/L,0.54,0.54,-0.888968688,-0.340498382,0.36674062,
COL16A1,Collagen type XVI alpha 1 chain,530 ng/L,530,ng/L,0.53,0.53,-0.915935735,-0.345524444,0.364850069,
TNFSF13B,TNF superfamily member 13b,530 ng/L,530,ng/L,0.53,0.53,-0.915935735,-0.345524444,0.364850069,
SUSD1,Sushi domain containing 1,530 ng/L,530,ng/L,0.53,0.53,-0.915935735,-0.345524444,0.364850069,
ANXA11,Annexin A11,530 ng/L,530,ng/L,0.53,0.53,-0.915935735,-0.345524444,0.364850069,
CNPY3,Canopy FGF signaling regulator 3,530 ng/L,530,ng/L,0.53,0.53,-0.915935735,-0.345524444,0.364850069,
MAT1A,Methionine adenosyltransferase 1A,530 ng/L,530,ng/L,0.53,0.53,-0.915935735,-0.345524444,0.364850069,
NRXN3,Neurexin 3,520 ng/L,520,ng/L,0.52,0.52,-0.943416472,-0.350646245,0.362926879,
EMD,Emerin,520 ng/L,520,ng/L,0.52,0.52,-0.943416472,-0.350646245,0.362926879,
EIF4H,Eukaryotic translation initiation factor 4H,520 ng/L,520,ng/L,0.52,0.52,-0.943416472,-0.350646245,0.362926879,
LPP,LIM domain containing preferred translocation partner in lipoma,520 ng/L,520,ng/L,0.52,0.52,-0.943416472,-0.350646245,0.362926879,
RPL12,Ribosomal protein L12,520 ng/L,520,ng/L,0.52,0.52,-0.943416472,-0.350646245,0.362926879,
CPVL,"Carboxypeptidase, vitellogenic like",510 ng/L,510,ng/L,0.51,0.51,-0.971430848,-0.355867505,0.360969896,
CHST3,Carbohydrate sulfotransferase 3,510 ng/L,510,ng/L,0.51,0.51,-0.971430848,-0.355867505,0.360969896,
UROC1,Urocanate hydratase 1,510 ng/L,510,ng/L,0.51,0.51,-0.971430848,-0.355867505,0.360969896,
HIST1H1B,Histone cluster 1 H1 family member b,510 ng/L,510,ng/L,0.51,0.51,-0.971430848,-0.355867505,0.360969896,
LRIG2,Leucine rich repeats and immunoglobulin like domains 2,510 ng/L,510,ng/L,0.51,0.51,-0.971430848,-0.355867505,0.360969896,
FGFR2,Fibroblast growth factor receptor 2,500 ng/L,500,ng/L,0.5,0.5,-1,-0.361192164,0.3589779,
DNM2,Dynamin 2,500 ng/L,500,ng/L,0.5,0.5,-1,-0.361192164,0.3589779,
CPSF6,Cleavage and polyadenylation specific factor 6,500 ng/L,500,ng/L,0.5,0.5,-1,-0.361192164,0.3589779,
FLG,Filaggrin,500 ng/L,500,ng/L,0.5,0.5,-1,-0.361192164,0.3589779,
CD8A,CD8a molecule,500 ng/L,500,ng/L,0.5,0.5,-1,-0.361192164,0.3589779,
CALML3,Calmodulin like 3,500 ng/L,500,ng/L,0.5,0.5,-1,-0.361192164,0.3589779,
RAB21,"RAB21, member RAS oncogene family",490 ng/L,490,ng/L,0.49,0.49,-1.029146346,-0.366624398,0.356949603,
PLD3,Phospholipase D family member 3,490 ng/L,490,ng/L,0.49,0.49,-1.029146346,-0.366624398,0.356949603,
MDGA1,MAM domain containing glycosylphosphatidylinositol anchor 1,490 ng/L,490,ng/L,0.49,0.49,-1.029146346,-0.366624398,0.356949603,
UCHL3,Ubiquitin C-terminal hydrolase L3,490 ng/L,490,ng/L,0.49,0.49,-1.029146346,-0.366624398,0.356949603,
SIL1,SIL1 nucleotide exchange factor,490 ng/L,490,ng/L,0.49,0.49,-1.029146346,-0.366624398,0.356949603,
SERPINE2,Serpin family E member 2,490 ng/L,490,ng/L,0.49,0.49,-1.029146346,-0.366624398,0.356949603,
NBEAL2,Neurobeachin like 2,490 ng/L,490,ng/L,0.49,0.49,-1.029146346,-0.366624398,0.356949603,
SNRPD1,Small nuclear ribonucleoprotein D1 polypeptide,490 ng/L,490,ng/L,0.49,0.49,-1.029146346,-0.366624398,0.356949603,
ANGPTL7,Angiopoietin like 7,490 ng/L,490,ng/L,0.49,0.49,-1.029146346,-0.366624398,0.356949603,
CRIP2,Cysteine rich protein 2,490 ng/L,490,ng/L,0.49,0.49,-1.029146346,-0.366624398,0.356949603,
COL6A6,Collagen type VI alpha 6 chain,490 ng/L,490,ng/L,0.49,0.49,-1.029146346,-0.366624398,0.356949603,
CHI3L2,Chitinase 3 like 2,480 ng/L,480,ng/L,0.48,0.48,-1.058893689,-0.372168645,0.354883645,
APLP2,Amyloid beta precursor like protein 2,480 ng/L,480,ng/L,0.48,0.48,-1.058893689,-0.372168645,0.354883645,
CPA4,Carboxypeptidase A4,480 ng/L,480,ng/L,0.48,0.48,-1.058893689,-0.372168645,0.354883645,
SEMA6D,Semaphorin 6D,480 ng/L,480,ng/L,0.48,0.48,-1.058893689,-0.372168645,0.354883645,
ENPP3,Ectonucleotide pyrophosphatase/phosphodiesterase 3,480 ng/L,480,ng/L,0.48,0.48,-1.058893689,-0.372168645,0.354883645,
ADH6,Alcohol dehydrogenase 6 (class V),480 ng/L,480,ng/L,0.48,0.48,-1.058893689,-0.372168645,0.354883645,
CCS,Copper chaperone for superoxide dismutase,480 ng/L,480,ng/L,0.48,0.48,-1.058893689,-0.372168645,0.354883645,
CPE,Carboxypeptidase E,470 ng/L,470,ng/L,0.47,0.47,-1.089267338,-0.377829622,0.352778583,
BAAT,Bile acid-CoA:amino acid N-acyltransferase,470 ng/L,470,ng/L,0.47,0.47,-1.089267338,-0.377829622,0.352778583,
SURF4,Surfeit 4,470 ng/L,470,ng/L,0.47,0.47,-1.089267338,-0.377829622,0.352778583,
WASF2,WAS protein family member 2,470 ng/L,470,ng/L,0.47,0.47,-1.089267338,-0.377829622,0.352778583,
LACRT,Lacritin,460 ng/L,460,ng/L,0.46,0.46,-1.120294234,-0.383612349,0.350632893,
CKAP5,Cytoskeleton associated protein 5,460 ng/L,460,ng/L,0.46,0.46,-1.120294234,-0.383612349,0.350632893,
FAS,Fas cell surface death receptor,450 ng/L,450,ng/L,0.45,0.45,-1.152003093,-0.38952218,0.348444953,
DAAM1,Dishevelled associated activator of morphogenesis 1,450 ng/L,450,ng/L,0.45,0.45,-1.152003093,-0.38952218,0.348444953,
ABHD11,Abhydrolase domain containing 11,450 ng/L,450,ng/L,0.45,0.45,-1.152003093,-0.38952218,0.348444953,
LDB3,LIM domain binding 3,450 ng/L,450,ng/L,0.45,0.45,-1.152003093,-0.38952218,0.348444953,
MTTP,Microsomal triglyceride transfer protein,450 ng/L,450,ng/L,0.45,0.45,-1.152003093,-0.38952218,0.348444953,
MXRA8,Matrix remodeling associated 8,450 ng/L,450,ng/L,0.45,0.45,-1.152003093,-0.38952218,0.348444953,
RFNG,RFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase,450 ng/L,450,ng/L,0.45,0.45,-1.152003093,-0.38952218,0.348444953,
PLEKHO2,Pleckstrin homology domain containing O2,450 ng/L,450,ng/L,0.45,0.45,-1.152003093,-0.38952218,0.348444953,
DNM1,Dynamin 1,440 ng/L,440,ng/L,0.44,0.44,-1.184424571,-0.395564826,0.346213045,
DMGDH,Dimethylglycine dehydrogenase,440 ng/L,440,ng/L,0.44,0.44,-1.184424571,-0.395564826,0.346213045,
FAM198A,Family with sequence similarity 198 member A,440 ng/L,440,ng/L,0.44,0.44,-1.184424571,-0.395564826,0.346213045,
UCHL1,Ubiquitin C-terminal hydrolase L1,440 ng/L,440,ng/L,0.44,0.44,-1.184424571,-0.395564826,0.346213045,
ENPP7,Ectonucleotide pyrophosphatase/phosphodiesterase 7,440 ng/L,440,ng/L,0.44,0.44,-1.184424571,-0.395564826,0.346213045,
PTP4A2,"Protein tyrosine phosphatase type IVA, member 2",440 ng/L,440,ng/L,0.44,0.44,-1.184424571,-0.395564826,0.346213045,
PHPT1,Phosphohistidine phosphatase 1,430 ng/L,430,ng/L,0.43,0.43,-1.217591435,-0.401746396,0.343935338,
TGM1,Transglutaminase 1,430 ng/L,430,ng/L,0.43,0.43,-1.217591435,-0.401746396,0.343935338,
FBXO7,F-box protein 7,430 ng/L,430,ng/L,0.43,0.43,-1.217591435,-0.401746396,0.343935338,
CLN5,"CLN5, intracellular trafficking protein",430 ng/L,430,ng/L,0.43,0.43,-1.217591435,-0.401746396,0.343935338,
POF1B,"POF1B, actin binding protein",430 ng/L,430,ng/L,0.43,0.43,-1.217591435,-0.401746396,0.343935338,
CHST12,Carbohydrate sulfotransferase 12,430 ng/L,430,ng/L,0.43,0.43,-1.217591435,-0.401746396,0.343935338,
SORD,Sorbitol dehydrogenase,430 ng/L,430,ng/L,0.43,0.43,-1.217591435,-0.401746396,0.343935338,
ERBB2,Erb-b2 receptor tyrosine kinase 2,430 ng/L,430,ng/L,0.43,0.43,-1.217591435,-0.401746396,0.343935338,
SERBP1,SERPINE1 mRNA binding protein 1,430 ng/L,430,ng/L,0.43,0.43,-1.217591435,-0.401746396,0.343935338,
IGSF1,Immunoglobulin superfamily member 1,430 ng/L,430,ng/L,0.43,0.43,-1.217591435,-0.401746396,0.343935338,
RPS3,Ribosomal protein S3,430 ng/L,430,ng/L,0.43,0.43,-1.217591435,-0.401746396,0.343935338,
MMP1,Matrix metallopeptidase 1,430 ng/L,430,ng/L,0.43,0.43,-1.217591435,-0.401746396,0.343935338,
BGLAP,Bone gamma-carboxyglutamate protein,430 ng/L,430,ng/L,0.43,0.43,-1.217591435,-0.401746396,0.343935338,
ERBB3,Erb-b2 receptor tyrosine kinase 3,420 ng/L,420,ng/L,0.42,0.42,-1.251538767,-0.408073428,0.341609884,
PBLD,Phenazine biosynthesis like protein domain containing,420 ng/L,420,ng/L,0.42,0.42,-1.251538767,-0.408073428,0.341609884,
NOC2L,NOC2 like nucleolar associated transcriptional repressor,420 ng/L,420,ng/L,0.42,0.42,-1.251538767,-0.408073428,0.341609884,
SMIM1,Small integral membrane protein 1 (Vel blood group),420 ng/L,420,ng/L,0.42,0.42,-1.251538767,-0.408073428,0.341609884,
PSMB9,Proteasome subunit beta 9,420 ng/L,420,ng/L,0.42,0.42,-1.251538767,-0.408073428,0.341609884,
EHD4,EH domain containing 4,410 ng/L,410,ng/L,0.41,0.41,-1.286304185,-0.414552934,0.339234605,
ASAH1,N-acylsphingosine amidohydrolase 1,410 ng/L,410,ng/L,0.41,0.41,-1.286304185,-0.414552934,0.339234605,
NAMPT,Nicotinamide phosphoribosyltransferase,410 ng/L,410,ng/L,0.41,0.41,-1.286304185,-0.414552934,0.339234605,
ECHDC2,Enoyl-CoA hydratase domain containing 2,410 ng/L,410,ng/L,0.41,0.41,-1.286304185,-0.414552934,0.339234605,
TPP2,Tripeptidyl peptidase 2,410 ng/L,410,ng/L,0.41,0.41,-1.286304185,-0.414552934,0.339234605,
AOX1,Aldehyde oxidase 1,410 ng/L,410,ng/L,0.41,0.41,-1.286304185,-0.414552934,0.339234605,
AMDHD1,Amidohydrolase domain containing 1,410 ng/L,410,ng/L,0.41,0.41,-1.286304185,-0.414552934,0.339234605,
TXNRD2,Thioredoxin reductase 2,410 ng/L,410,ng/L,0.41,0.41,-1.286304185,-0.414552934,0.339234605,
WISP2,WNT1 inducible signaling pathway protein 2,400 ng/L,400,ng/L,0.4,0.4,-1.321928095,-0.421192443,0.336807281,
COPB1,Coatomer protein complex subunit beta 1,400 ng/L,400,ng/L,0.4,0.4,-1.321928095,-0.421192443,0.336807281,
REG4,Regenerating family member 4,400 ng/L,400,ng/L,0.4,0.4,-1.321928095,-0.421192443,0.336807281,
ABI1,Abl interactor 1,400 ng/L,400,ng/L,0.4,0.4,-1.321928095,-0.421192443,0.336807281,
SRP14,Signal recognition particle 14,400 ng/L,400,ng/L,0.4,0.4,-1.321928095,-0.421192443,0.336807281,
ESM1,Endothelial cell specific molecule 1,400 ng/L,400,ng/L,0.4,0.4,-1.321928095,-0.421192443,0.336807281,
CASC4,Cancer susceptibility 4,400 ng/L,400,ng/L,0.4,0.4,-1.321928095,-0.421192443,0.336807281,
CD320,CD320 molecule,400 ng/L,400,ng/L,0.4,0.4,-1.321928095,-0.421192443,0.336807281,
SEMA4C,Semaphorin 4C,400 ng/L,400,ng/L,0.4,0.4,-1.321928095,-0.421192443,0.336807281,
FKBP2,FK506 binding protein 2,400 ng/L,400,ng/L,0.4,0.4,-1.321928095,-0.421192443,0.336807281,
KREMEN1,Kringle containing transmembrane protein 1,400 ng/L,400,ng/L,0.4,0.4,-1.321928095,-0.421192443,0.336807281,
APOBR,Apolipoprotein B receptor,400 ng/L,400,ng/L,0.4,0.4,-1.321928095,-0.421192443,0.336807281,
HBM,Hemoglobin subunit mu,400 ng/L,400,ng/L,0.4,0.4,-1.321928095,-0.421192443,0.336807281,
REXO2,RNA exonuclease 2,390 ng/L,390,ng/L,0.39,0.39,-1.358453971,-0.428000058,0.334325539,
CMTM6,CKLF like MARVEL transmembrane domain containing 6,390 ng/L,390,ng/L,0.39,0.39,-1.358453971,-0.428000058,0.334325539,
RGCC,Regulator of cell cycle,390 ng/L,390,ng/L,0.39,0.39,-1.358453971,-0.428000058,0.334325539,
LNPEP,Leucyl and cystinyl aminopeptidase,390 ng/L,390,ng/L,0.39,0.39,-1.358453971,-0.428000058,0.334325539,
CDH15,Cadherin 15,390 ng/L,390,ng/L,0.39,0.39,-1.358453971,-0.428000058,0.334325539,
IMPA1,Inositol monophosphatase 1,390 ng/L,390,ng/L,0.39,0.39,-1.358453971,-0.428000058,0.334325539,
CRK,"CRK proto-oncogene, adaptor protein",390 ng/L,390,ng/L,0.39,0.39,-1.358453971,-0.428000058,0.334325539,
PIPOX,Pipecolic acid and sarcosine oxidase,390 ng/L,390,ng/L,0.39,0.39,-1.358453971,-0.428000058,0.334325539,
S100A3,S100 calcium binding protein A3,390 ng/L,390,ng/L,0.39,0.39,-1.358453971,-0.428000058,0.334325539,
KRTAP4-3,Keratin associated protein 4-3,390 ng/L,390,ng/L,0.39,0.39,-1.358453971,-0.428000058,0.334325539,
CPPED1,Calcineurin like phosphoesterase domain containing 1,380 ng/L,380,ng/L,0.38,0.38,-1.395928676,-0.434984515,0.331786834,
PSMD3,"Proteasome 26S subunit, non-ATPase 3",380 ng/L,380,ng/L,0.38,0.38,-1.395928676,-0.434984515,0.331786834,
AMPD2,Adenosine monophosphate deaminase 2,380 ng/L,380,ng/L,0.38,0.38,-1.395928676,-0.434984515,0.331786834,
PCK1,Phosphoenolpyruvate carboxykinase 1,380 ng/L,380,ng/L,0.38,0.38,-1.395928676,-0.434984515,0.331786834,
NAPSA,Napsin A aspartic peptidase,380 ng/L,380,ng/L,0.38,0.38,-1.395928676,-0.434984515,0.331786834,
DDC,Dopa decarboxylase,380 ng/L,380,ng/L,0.38,0.38,-1.395928676,-0.434984515,0.331786834,
RGS18,Regulator of G protein signaling 18,380 ng/L,380,ng/L,0.38,0.38,-1.395928676,-0.434984515,0.331786834,
PGM5,Phosphoglucomutase 5,380 ng/L,380,ng/L,0.38,0.38,-1.395928676,-0.434984515,0.331786834,
UQCRB,Ubiquinol-cytochrome c reductase binding protein,380 ng/L,380,ng/L,0.38,0.38,-1.395928676,-0.434984515,0.331786834,
C1orf123,Chromosome 1 open reading frame 123,380 ng/L,380,ng/L,0.38,0.38,-1.395928676,-0.434984515,0.331786834,
ATP1A1,ATPase Na+/K+ transporting subunit alpha 1,380 ng/L,380,ng/L,0.38,0.38,-1.395928676,-0.434984515,0.331786834,
HMGB2,High mobility group box 2,380 ng/L,380,ng/L,0.38,0.38,-1.395928676,-0.434984515,0.331786834,
